Categoria,Evaluación,Amabilidad,Asesorias,Rapidez,Comentarios
Otro,2,Muy Bueno,Muy Malo,Neutral,"Como sugerencia, propongo que el préstamo de libros en la biblioteca tenga otras formas de adquisición, ya que en temporada de exámenes los necesitamos y están ocupados."
Otro,9,Muy Bueno,Muy Bueno,Muy Malo,Me gustaría que hubiera más variedad de libros.
Docente,8,Bueno,Muy Malo,Muy Bueno,"Añadir libros más actualizados; en cantidad hay muchos, pero falta actualización."
Docente,5,Muy Malo,Bueno,Muy Bueno,No encontré el libro que buscaba.
Alumno,9,Muy Bueno,Malo,Malo,"Cada vez que quiero consultar algo, aparece un mensaje que dice que se sobrepasó el número de impresiones, por lo que no se puede consultar nada."
Otro,1,Muy Malo,Malo,Muy Bueno,"Dar más días para renovar los libros, no cada dos días, sino cada 3 o 4."
Personal Administrativo,6,Muy Malo,Bueno,Muy Malo,"No me permiten ingresar a leer, mientras que a los de universidad sí se les permite."
Docente,3,Neutral,Malo,Malo,Deberían cambiar los muebles que hay.
Personal Administrativo,5,Neutral,Neutral,Muy Bueno,Es muy difícil acceder a la biblioteca.
Otro,5,Muy Malo,Bueno,Muy Bueno,Abran más temprano.
Alumno,5,Muy Malo,Malo,Bueno,El ambiente es agradable.
Alumno,2,Muy Bueno,Bueno,Malo,"Todo muy bien, muy bonito."
Otro,7,Muy Bueno,Muy Malo,Muy Malo,Mejorar el internet.
Alumno,2,Muy Malo,Bueno,Muy Bueno,"Los baños muchas veces se quedan sin papel, sin jabón o están muy sucios."
Alumno,0,Malo,Muy Malo,Muy Bueno,Los alumnos de preparatoria hacen mucho ruido y no permiten estudiar en la biblioteca.
Alumno,0,Muy Malo,Muy Bueno,Muy Malo,"Hay personas que solo van a platicar y a molestar. Deberían retirarlas, ya que es un lugar para estudiar."
Alumno,5,Malo,Neutral,Muy Bueno,"Hacen falta más libros electrónicos de las áreas de microbiología, inmunohematología, atlas de microbiología, bioquímica y farmacología."
Otro,7,Muy Malo,Muy Malo,Bueno,El personal es muy soberbio.
Alumno,6,Muy Bueno,Muy Malo,Neutral,Mejorar la actitud del personal.
Otro,1,Neutral,Muy Bueno,Malo,Me atendieron de manera grosera.
Otro,9,Muy Bueno,Malo,Muy Bueno,"Al pedir una impresión, el trato fue desagradable. Mejoren la actitud."
Personal Administrativo,9,Muy Bueno,Muy Malo,Neutral,"Los trabajadores de la biblioteca son amables y hacen todo lo que está a su alcance, pero definitivamente falta más apoyo."
Docente,9,Malo,Muy Malo,Bueno,Falta más personal de servicio.
Docente,2,Neutral,Neutral,Muy Bueno,Avisos recurrentes sobre cómo utilizar correctamente la biblioteca.
Otro,7,Neutral,Malo,Muy Bueno,A veces no me dejan pasar al área de libros y solo quiero tomar agua.
Docente,4,Bueno,Muy Bueno,Malo,Los baños muchas veces se quedan sin papel o sin jabÃ³n o están muy sucios
Docente,2,Muy Malo,Muy Malo,Malo,"Nada, todo bien"
Docente,7,Malo,Muy Bueno,Bueno,
Personal Administrativo,0,Muy Malo,Muy Bueno,Neutral,Deberían de cambiar los muebles que© hay ahí
Otro,2,Malo,Bueno,Muy Malo,abran temprano
Personal Administrativo,1,Malo,Muy Bueno,Malo,"añadir libros más actualizados,  eso pues en cantidad de libros hay mucho"
Docente,8,Muy Bueno,Bueno,Malo,Bien
Alumno,1,Neutral,Muy Malo,Malo,Avisos recurrentes de como utilizar la biblioteca
Personal Administrativo,5,Bueno,Muy Malo,Malo,"No me permiten ingresar para leer, cuando a los de uni si se lo permiten"
Alumno,5,Neutral,Muy Malo,Malo,"Nada, todo bien"
Otro,0,Bueno,Muy Bueno,Neutral,"Como, una sugerencia, sugiero que en el préstamo de libros dentro de la biblioteca, hubiera otra forma de adquirirlos, debido que en temporada de exámenes las usamos y las tenemos ocupadas en biblioteca"
Alumno,4,Muy Malo,Malo,Bueno,"Los libros y préstamos de ellos son buenos y los que atienden igual, también sus instalaciones son buenas, sin embargo se llena de alumnos de preparatoria que no van a estudiar o a dar buen uso de ella y solo van a molestar a los alumnos que si están estudiándolos trabajadores en biblioteca son amables y hacen todo lo que está¡ a su alcance, pero definitivamente falta"
Docente,2,Muy Bueno,Muy Bueno,Muy Malo,Los baños muchas veces se quedan sin papel o sin jabÃ³n o están muy sucios
Docente,0,Malo,Bueno,Malo,Nada
Otro,8,Muy Malo,Malo,Muy Bueno,Muy bonito todo
Otro,1,Bueno,Muy Bueno,Malo,"Añadir libros mas actualizados,  eso pues en cantidad de libros hay mucho"
Docente,2,Malo,Muy Malo,Bueno,Muy buena
Docente,6,Muy Bueno,Muy Bueno,Malo,Deberían de cambiar los muebles que© hay ahí
Alumno,4,Malo,Bueno,Muy Bueno,Muy buena
Otro,1,Malo,Muy Malo,Bueno,Avisos recurrentes de como utilizar la biblioteca
Personal Administrativo,3,Malo,Muy Malo,Bueno,"añadir libros más actualizados,  eso pues en cantidad de libros hay mucho"
Personal Administrativo,1,Bueno,Muy Bueno,Bueno,"No me permiten ingresar para leer, cuando a los de uni si se lo permiten"
Docente,2,Muy Malo,Muy Bueno,Malo,"Dar más das para renovar que no sea cada dos das, que sean unos 3 o 4 das"
Otro,7,Muy Bueno,Neutral,Muy Bueno,
Personal Administrativo,5,Muy Malo,Neutral,Malo,"Como, una sugerencia, sugiero que en el préstamo de libros dentro de la biblioteca, hubiera otra forma de adquirirlos, debido que en temporada de exámenes las usamos y las tenemos ocupadas en biblioteca"
Alumno,5,Muy Malo,Neutral,Muy Malo,Mejorar el internet
Personal Administrativo,0,Neutral,Bueno,Muy Bueno,Muchas cosas porque el personal es muy soberbio
Personal Administrativo,5,Bueno,Neutral,Bueno,"Los libros y préstamos de ellos son buenos y los que atienden igual, también sus instalaciones son buenas, sin embargo se llena de alumnos de preparatoria que no van a estudiar o a dar buen uso de ella y solo van a molestar a los alumnos que si están estudiándolos trabajadores en biblioteca son amables y hacen todo lo que está¡ a su alcance, pero definitivamente falta"
Otro,6,Malo,Muy Bueno,Muy Bueno,Avisos recurrentes de como utilizar la biblioteca
Docente,3,Neutral,Bueno,Bueno,"Los alumnos de preparatoria siempre están haciendo mucho ruido en biblioteca, es muy molesto y no nos deja estudiar"
Alumno,0,Malo,Malo,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
Docente,6,Neutral,Muy Malo,Neutral,"Falta más personal de servicios muy difícil acceder Excelente servicio hacen falta mas libros electrónicos de las Áreas de microbióloga, inmuno hematologia, atlas de microbióloga, de bioquimica, farmacología"
Alumno,3,Neutral,Malo,Muy Malo,Nada
Docente,3,Muy Malo,Neutral,Bueno,"añadir libros más actualizados,  eso pues en cantidad de libros hay mucho"
Docente,1,Muy Bueno,Muy Malo,Muy Malo,"Nada, todo bien"
Alumno,6,Bueno,Muy Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
Personal Administrativo,8,Muy Bueno,Malo,Bueno,a veces no me dejan pasar al arena de libros y yo solo quiero tomar agua
Alumno,8,Neutral,Malo,Bueno,a veces no me dejan pasar al arena de libros y yo solo quiero tomar agua
Alumno,4,Muy Bueno,Neutral,Malo,a veces no me dejan pasar al arena de libros y yo solo quiero tomar agua
Personal Administrativo,0,Bueno,Muy Malo,Muy Malo,Mejorar la actitud
Alumno,4,Neutral,Bueno,Neutral,Bien
Alumno,5,Muy Bueno,Bueno,Muy Malo,Deberían de cambiar los muebles que hay ahí­
Personal Administrativo,0,Muy Bueno,Malo,Muy Malo,Bien
