Año,Categoria,Evaluación,Amabilidad,Asesorias,Rapidez,Comentarios,Comentarios_Limpios
2023,Alumno,1,Neutral,Neutral,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Docente,2,Bueno,Muy Malo,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Personal Administrativo,5,Muy Bueno,Malo,Malo,Muy Bien,Muy Bien.
2024,Otro,6,Malo,Malo,Bueno,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Alumno,1,Neutral,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Otro,5,Malo,Neutral,Bueno,Me caen muy bien,Me caer muy bien.
2024,Docente,2,Malo,Malo,Muy Malo,BaÃ±os sucios,Baño sucio.
2023,Alumno,7,Muy Malo,Muy Malo,Muy Bueno,"Todo excelente, gracias",Todo excelente gracia.
2023,Otro,1,Muy Malo,Neutral,Muy Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Docente,2,Bueno,Malo,Malo,Me caen muy bien,Me caer muy bien.
2023,Otro,4,Neutral,Bueno,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2024,Alumno,8,Bueno,Malo,Muy Bueno,El Internet esta muy lento,El interna esta muy lento.
2024,Otro,4,Bueno,Muy Bueno,Muy Malo,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Personal Administrativo,2,Muy Malo,Neutral,Muy Malo,,
2023,Alumno,3,Bueno,Muy Malo,Bueno,El Internet esta muy lento,El interna esta muy lento.
2023,Alumno,3,Malo,Muy Bueno,Neutral,Atienden muy lento,Atender muy lento.
2024,Alumno,0,Muy Malo,Muy Malo,Malo,Nadie atiende,Nadie aliende.
2024,Alumno,8,Neutral,Muy Malo,Bueno,Muy pocas computadoras,Muy poca computadoras.
2023,Alumno,2,Neutral,Bueno,Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2023,Personal Administrativo,2,Neutral,Bueno,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2024,Personal Administrativo,8,Muy Bueno,Muy Bueno,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Otro,1,Malo,Neutral,Muy Malo,Fallan equipos,Falla equipo.
2023,Otro,6,Muy Malo,Muy Bueno,Muy Malo,Nada,Nada.
2023,Otro,2,Muy Bueno,Muy Bueno,Muy Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Docente,5,Bueno,Neutral,Bueno,Computadoras lentas,Computadoras lenta.
2023,Docente,7,Muy Malo,Bueno,Bueno,Nadie atiende,Nadie aliende.
2024,Personal Administrativo,1,Bueno,Muy Malo,Bueno,Atienden muy lento,Atender muy lento.
2024,Otro,5,Neutral,Malo,Muy Bueno,Atienden muy lento,Atender muy lento.
2024,Alumno,3,Muy Malo,Muy Malo,Muy Malo,Bien,Bien.
